ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
      290    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
       40    0.000    0.000    0.000    0.000 Tkinter.py:106(_cnfmerge)
     1004    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       20    0.000    0.000    0.015    0.001 Image.py:2441(open)
       20    0.000    0.000    0.002    0.000 ImageFile.py:78(__init__)
        2    0.000    0.000    0.000    0.000 {nt.listdir}
        6    0.000    0.000    0.000    0.000 startGame.py:85(get_slot_machine_state)
      100    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
       20    0.000    0.000    0.000    0.000 {PIL._imaging.zip_decoder}
       20    0.000    0.000    0.008    0.000 Tkinter.py:3361(__init__)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3359(PhotoImage)
       20    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Tkinter.py:1864(readprofile)
        4    0.000    0.000    0.000    0.000 {nt.putenv}
      120    0.000    0.000    0.000    0.000 __init__.py:1352(isEnabledFor)
      100    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       18    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:326(chunk_IHDR)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:576(load_prepare)
        6    0.000    0.000    0.000    0.000 {nt._isdir}
      120    0.000    0.000    0.000    0.000 __init__.py:1137(debug)
      120    0.000    0.000    0.000    0.000 {any}
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:389(chunk_pHYs)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
       52    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:610(load_end)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
      160    0.000    0.000    0.000    0.000 {PIL._imaging.crc32}
       50    0.000    0.000    0.000    0.000 Tkinter.py:1896(__getattr__)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
       30    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
       11    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       54    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       60    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       11    0.000    0.000    0.004    0.000 sre_compile.py:567(compile)
      160    0.000    0.000    0.000    0.000 _binary.py:71(i16be)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 mbcs.py:9(<module>)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:402(chunk_tEXt)
        5    0.000    0.000    0.000    0.000 Tkinter.py:2050(_setup)
      120    0.000    0.000    0.000    0.000 __init__.py:1338(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
       20    0.000    0.000    0.000    0.000 ImageFile.py:257(load_prepare)
       11    0.000    0.000    0.003    0.000 sre_parse.py:706(parse)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:278(__init__)
       27    0.000    0.000    0.000    0.000 ntpath.py:96(splitdrive)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       35    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
        2    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
       20    0.000    0.000    0.000    0.000 ImageTk.py:137(__str__)
      160    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      132    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
       80    0.000    0.000    0.000    0.000 ImageFile.py:504(_safe_read)
       33    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       67    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       19    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
        5    0.000    0.000    0.000    0.000 Tkinter.py:2075(__init__)
       92    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.026    0.026 Tkinter.py:1794(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:297(create_unicode_buffer)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       25    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
        6    0.000    0.000    0.000    0.000 Tkinter.py:432(destroy)
       20    0.000    0.000    0.030    0.002 Tkinter.py:2312(create_image)
       20    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:341(chunk_IDAT)
      100    0.000    0.000    0.000    0.000 _binary.py:17(i8)
        3    0.000    0.000    0.000    0.000 decimal.py:3783(__init__)
       13    0.000    0.000    0.000    0.000 ntpath.py:63(join)
      100    0.000    0.000    0.000    0.000 <string>:8(__new__)
        3    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.003    0.003 Tkinter.py:1855(destroy)
        4    0.000    0.000    0.000    0.000 genericpath.py:34(isfile)
       55    0.000    0.000    0.000    0.000 {_tkinter._flatten}
        5    0.000    0.000    0.000    0.000 Tkinter.py:2093(destroy)
       30    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
       87    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:121(close)
       71    0.000    0.000    0.000    0.000 collections.py:337(<genexpr>)
       13    0.000    0.000    0.000    0.000 abc.py:105(register)
       62    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 Tkinter.py:1200(_register)
       11    0.000    0.000    0.001    0.000 sre_compile.py:552(_code)
       30    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:370(ImageFileDirectory_v2)
        4    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        2    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
