ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17/13    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
       20    0.000    0.000    0.000    0.000 {PIL._imaging.zip_decoder}
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
      200    0.000    0.000    0.000    0.000 {any}
        1    0.000    0.000    0.000    0.000 TiffTags.py:343(_populate)
       20    0.000    0.000    0.002    0.000 ImageFile.py:78(__init__)
       11    0.000    0.000    0.004    0.000 re.py:230(_compile)
      290    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:199(PngInfo)
       20    0.000    0.000    0.015    0.001 Image.py:2441(open)
     1004    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       40    0.000    0.000    0.000    0.000 Tkinter.py:106(_cnfmerge)
       20    0.000    0.000    0.008    0.000 Tkinter.py:3361(__init__)
       84    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {nt.putenv}
       20    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
      120    0.000    0.000    0.000    0.000 __init__.py:1352(isEnabledFor)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:576(load_prepare)
       11    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
      100    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:326(chunk_IHDR)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3359(PhotoImage)
        6    0.000    0.000    0.000    0.000 {nt._isdir}
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 mbcs.py:9(<module>)
      100    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
       20    0.000    0.000    0.000    0.000 PngImagePlugin.py:389(chunk_pHYs)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
